nb_win_team_home,nb_win_team_away,ranking_team_home,ranking_team_home,result
18,26,19.0,2.0,DEN
17,18,20.0,17.0,HOU
28,26,1.0,3.0,MIN
17,22,21.0,9.0,NOP
21,24,12.0,5.0,OKC
14,23,24.0,7.0,PHI
8,22,27.0,10.0,SAC
3,5,30.0,29.0,SAS
23,15,6.0,23.0,TOR
21,6,11.0,28.0,WAS
25,29,4.0,1.0,BOS
21,16,12.0,22.0,BRK
22,22,8.0,10.0,NYK
19,19,16.0,17.0,PHO
25,10,5.0,26.0,POR
6,8,28.0,27.0,CHO
18,17,19.0,21.0,GSW
3,18,30.0,20.0,HOU
15,22,23.0,11.0,IND
14,24,25.0,6.0,LAC
26,23,2.0,7.0,NOP
21,21,14.0,15.0,ORL
26,10,3.0,26.0,POR
23,23,8.0,9.0,SAC
19,15,18.0,24.0,TOR
7,18,28.0,20.0,CHI
26,18,3.0,21.0,GSW
29,19,1.0,17.0,HOU
20,19,16.0,18.0,LAL
23,23,7.0,8.0,NOP
14,22,25.0,12.0,NYK
26,21,5.0,15.0,ORL
15,6,23.0,29.0,WAS
22,8,12.0,27.0,CHO
27,23,2.0,8.0,IND
27,25,4.0,6.0,LAC
10,20,26.0,16.0,PHO
27,23,3.0,11.0,SAC
15,30,24.0,1.0,BOS
22,19,14.0,18.0,CHI
7,3,29.0,30.0,DET
14,18,25.0,21.0,GSW
24,19,8.0,19.0,HOU
21,23,16.0,10.0,IND
16,23,22.0,11.0,MIA
23,24,9.0,7.0,NOP
19,27,20.0,5.0,OKC
23,21,12.0,15.0,ORL
15,7,23.0,28.0,SAS
25,28,7.0,2.0,DEN
25,27,6.0,5.0,OKC
21,23,16.0,13.0,SAC
10,16,26.0,23.0,BRK
24,8,10.0,27.0,CHO
20,24,18.0,8.0,DAL
23,19,13.0,20.0,HOU
15,24,24.0,9.0,MIA
23,28,11.0,3.0,MIL
4,28,30.0,4.0,MIN
16,22,22.0,15.0,ORL
31,7,1.0,28.0,SAS
16,19,24.0,19.0,CHI
23,23,14.0,13.0,IND
29,15,2.0,25.0,MEM
22,27,16.0,5.0,OKC
24,7,11.0,29.0,WAS
24,17,11.0,22.0,ATL
21,16,18.0,23.0,BRK
32,28,1.0,3.0,DEN
11,24,26.0,10.0,IND
22,26,15.0,6.0,PHI
25,22,8.0,16.0,PHO
8,7,27.0,28.0,SAS
18,24,21.0,10.0,CLE
20,15,19.0,25.0,MEM
4,28,30.0,4.0,MIL
30,28,2.0,5.0,OKC
9,27,27.0,6.0,PHI
7,7,29.0,28.0,SAS
25,16,9.0,24.0,TOR
19,22,20.0,17.0,UTA
20,32,20.0,1.0,BOS
26,17,7.0,23.0,BRK
7,29,29.0,3.0,DEN
23,24,14.0,12.0,IND
22,24,16.0,13.0,MIA
21,12,18.0,26.0,POR
23,18,16.0,21.0,ATL
24,33,11.0,1.0,BOS
24,21,14.0,18.0,CHI
30,9,2.0,27.0,CHO
23,25,15.0,8.0,CLE
16,15,24.0,25.0,MEM
4,29,30.0,4.0,MIL
28,8,6.0,28.0,SAS
24,30,12.0,2.0,DEN
27,22,7.0,17.0,LAL
17,26,23.0,8.0,NYK
29,12,5.0,26.0,POR
25,22,10.0,18.0,UTA
18,18,22.0,21.0,ATL
4,10,30.0,27.0,CHO
30,26,3.0,8.0,CLE
24,16,14.0,24.0,MEM
7,30,29.0,4.0,MIN
8,30,28.0,5.0,OKC
24,25,12.0,11.0,PHO
20,12,20.0,26.0,POR
24,34,14.0,1.0,BOS
22,21,17.0,19.0,CHI
27,31,8.0,2.0,DEN
17,31,23.0,3.0,MIN
24,29,13.0,6.0,PHI
19,24,21.0,15.0,SAC
7,22,29.0,18.0,UTA
31,26,3.0,9.0,CLE
18,24,22.0,13.0,DAL
10,20,27.0,20.0,HOU
16,28,25.0,7.0,LAC
26,31,10.0,5.0,OKC
17,23,24.0,16.0,ORL
25,26,12.0,11.0,PHO
8,13,28.0,26.0,POR
17,21,23.0,20.0,HOU
35,29,1.0,6.0,LAC
19,23,21.0,16.0,LAL
28,24,8.0,15.0,MIA
9,32,28.0,2.0,MIN
31,26,4.0,10.0,NOP
31,29,3.0,7.0,PHI
25,25,12.0,14.0,SAC
10,23,27.0,18.0,UTA
5,7,30.0,29.0,WAS
13,21,26.0,19.0,CHI
26,18,10.0,23.0,MEM
5,32,30.0,3.0,OKC
23,26,17.0,12.0,PHO
18,16,22.0,25.0,TOR
27,30,9.0,6.0,LAC
21,24,20.0,15.0,LAL
32,32,2.0,3.0,MIL
32,32,5.0,4.0,MIN
35,26,1.0,11.0,NOP
10,29,27.0,7.0,NYK
25,24,14.0,17.0,ORL
13,29,26.0,8.0,PHI
24,26,16.0,12.0,PHO
18,26,24.0,13.0,SAC
18,24,23.0,18.0,UTA
10,8,28.0,29.0,WAS
36,27,1.0,10.0,IND
19,24,21.0,15.0,LAL
19,29,22.0,8.0,PHI
22,16,19.0,25.0,TOR
30,24,7.0,18.0,UTA
10,22,27.0,19.0,CHI
33,26,3.0,13.0,DAL
32,33,5.0,2.0,DEN
28,6,9.0,30.0,DET
9,30,29.0,6.0,LAC
14,32,26.0,4.0,MIL
22,26,20.0,14.0,NOP
10,24,28.0,17.0,ORL
19,27,22.0,11.0,PHO
24,27,16.0,12.0,SAC
18,29,24.0,8.0,CLE
31,27,6.0,10.0,IND
37,24,1.0,15.0,LAL
24,29,18.0,9.0,PHI
33,10,4.0,27.0,CHO
18,20,24.0,22.0,GSW
6,31,30.0,6.0,LAC
9,25,29.0,15.0,MIA
10,27,28.0,12.0,NOP
34,25,2.0,16.0,ORL
20,28,21.0,10.0,PHO
33,15,3.0,26.0,POR
27,27,11.0,13.0,SAC
22,17,20.0,25.0,TOR
30,19,9.0,23.0,BRK
10,30,28.0,8.0,CLE
21,21,21.0,22.0,GSW
32,25,6.0,15.0,LAL
26,32,14.0,5.0,MIL
23,28,19.0,11.0,SAC
34,23,3.0,20.0,HOU
10,27,27.0,12.0,IND
26,32,15.0,6.0,LAC
37,18,1.0,24.0,MEM
24,33,18.0,5.0,MIL
6,26,30.0,16.0,ORL
9,28,29.0,10.0,PHO
34,15,2.0,26.0,POR
34,17,4.0,25.0,TOR
30,26,9.0,14.0,DAL
20,21,23.0,22.0,GSW
22,33,21.0,5.0,LAC
10,26,27.0,15.0,LAL
31,29,8.0,10.0,SAC
28,17,11.0,25.0,TOR
20,27,23.0,14.0,DAL
28,23,12.0,20.0,HOU
32,18,7.0,24.0,MEM
29,33,10.0,6.0,MIL
23,35,19.0,2.0,MIN
25,35,18.0,3.0,OKC
26,27,17.0,15.0,ORL
38,22,1.0,21.0,ATL
9,32,29.0,7.0,CLE
29,6,12.0,30.0,DET
30,22,9.0,22.0,GSW
34,29,5.0,10.0,NOP
27,10,15.0,28.0,SAS
10,17,27.0,25.0,TOR
18,24,24.0,19.0,CHI
20,33,23.0,6.0,CLE
33,28,8.0,14.0,DAL
27,35,15.0,2.0,DEN
15,7,26.0,30.0,DET
29,23,11.0,20.0,GSW
33,35,7.0,3.0,MIN
27,10,17.0,28.0,SAS
30,26,10.0,18.0,UTA
30,22,10.0,22.0,ATL
33,10,7.0,27.0,CHO
29,36,13.0,2.0,DEN
18,23,25.0,21.0,HOU
27,30,15.0,9.0,NOP
39,9,1.0,29.0,WAS
28,25,15.0,19.0,CHI
