Team,Win,Date,Ranking
MIL,9,2023-11-21,5.0
MIN,9,2023-11-21,6.0
NOP,6,2023-11-21,20.0
NYK,8,2023-11-21,10.0
OKC,9,2023-11-21,7.0
ORL,8,2023-11-21,11.0
PHI,10,2023-11-21,2.0
PHO,7,2023-11-21,15.0
POR,3,2023-11-21,27.0
SAC,8,2023-11-21,12.0
SAS,3,2023-11-21,28.0
TOR,6,2023-11-21,21.0
UTA,4,2023-11-21,24.0
WAS,2,2023-11-21,30.0
ATL,6,2023-11-22,18.0
BOS,11,2023-11-22,1.0
BRK,6,2023-11-22,19.0
CHO,4,2023-11-22,24.0
CHI,5,2023-11-22,22.0
CLE,8,2023-11-22,11.0
DAL,9,2023-11-22,7.0
DEN,10,2023-11-22,2.0
DET,2,2023-11-22,29.0
GSW,7,2023-11-22,16.0
HOU,6,2023-11-22,20.0
IND,8,2023-11-22,12.0
LAC,5,2023-11-22,23.0
LAL,9,2023-11-22,8.0
MEM,3,2023-11-22,26.0
MIA,9,2023-11-22,9.0
MIL,10,2023-11-22,3.0
MIN,10,2023-11-22,4.0
NOP,7,2023-11-22,17.0
NYK,8,2023-11-22,13.0
OKC,10,2023-11-22,5.0
ORL,9,2023-11-22,10.0
PHI,10,2023-11-22,6.0
PHO,8,2023-11-22,14.0
POR,3,2023-11-22,27.0
SAC,8,2023-11-22,15.0
SAS,3,2023-11-22,28.0
TOR,6,2023-11-22,21.0
UTA,4,2023-11-22,25.0
WAS,2,2023-11-22,30.0
ATL,6,2023-11-24,20.0
BOS,12,2023-11-24,1.0
BRK,6,2023-11-24,21.0
CHO,4,2023-11-24,24.0
CHI,5,2023-11-24,23.0
CLE,8,2023-11-24,12.0
DAL,9,2023-11-24,9.0
DEN,10,2023-11-24,3.0
DET,2,2023-11-24,29.0
GSW,7,2023-11-24,17.0
HOU,7,2023-11-24,18.0
IND,8,2023-11-24,13.0
LAC,6,2023-11-24,22.0
LAL,9,2023-11-24,10.0
MEM,3,2023-11-24,26.0
MIA,10,2023-11-24,4.0
MIL,10,2023-11-24,5.0
MIN,11,2023-11-24,2.0
NOP,8,2023-11-24,14.0
NYK,8,2023-11-24,15.0
OKC,10,2023-11-24,6.0
ORL,10,2023-11-24,7.0
PHI,10,2023-11-24,8.0
PHO,9,2023-11-24,11.0
POR,3,2023-11-24,27.0
SAC,8,2023-11-24,16.0
SAS,3,2023-11-24,28.0
TOR,7,2023-11-24,19.0
UTA,4,2023-11-24,25.0
WAS,2,2023-11-24,30.0
ATL,7,2023-11-25,17.0
BOS,12,2023-11-25,1.0
BRK,6,2023-11-25,21.0
CHO,4,2023-11-25,24.0
CHI,5,2023-11-25,23.0
CLE,8,2023-11-25,13.0
DAL,10,2023-11-25,4.0
DEN,10,2023-11-25,5.0
DET,2,2023-11-25,29.0
GSW,7,2023-11-25,18.0
HOU,7,2023-11-25,19.0
IND,8,2023-11-25,14.0
LAC,6,2023-11-25,22.0
LAL,9,2023-11-25,10.0
MEM,3,2023-11-25,26.0
MIA,10,2023-11-25,6.0
MIL,10,2023-11-25,7.0
MIN,11,2023-11-25,2.0
NOP,9,2023-11-25,11.0
NYK,8,2023-11-25,15.0
OKC,11,2023-11-25,3.0
ORL,10,2023-11-25,8.0
PHI,10,2023-11-25,9.0
PHO,9,2023-11-25,12.0
POR,3,2023-11-25,27.0
SAC,8,2023-11-25,16.0
SAS,3,2023-11-25,28.0
TOR,7,2023-11-25,20.0
UTA,4,2023-11-25,25.0
WAS,2,2023-11-25,30.0
ATL,8,2023-11-26,14.0
BOS,12,2023-11-26,1.0
BRK,7,2023-11-26,19.0
CHO,5,2023-11-26,23.0
CHI,5,2023-11-26,24.0
CLE,8,2023-11-26,15.0
DAL,10,2023-11-26,6.0
DEN,10,2023-11-26,7.0
DET,2,2023-11-26,29.0
GSW,7,2023-11-26,20.0
HOU,7,2023-11-26,21.0
IND,8,2023-11-26,16.0
LAC,6,2023-11-26,22.0
LAL,9,2023-11-26,11.0
MEM,3,2023-11-26,27.0
MIA,10,2023-11-26,8.0
MIL,11,2023-11-26,2.0
MIN,11,2023-11-26,3.0
NOP,9,2023-11-26,12.0
NYK,9,2023-11-26,13.0
OKC,11,2023-11-26,4.0
ORL,11,2023-11-26,5.0
PHI,10,2023-11-26,9.0
PHO,10,2023-11-26,10.0
POR,4,2023-11-26,25.0
SAC,8,2023-11-26,17.0
SAS,3,2023-11-26,28.0
TOR,8,2023-11-26,18.0
UTA,4,2023-11-26,26.0
WAS,2,2023-11-26,30.0
ATL,8,2023-11-27,15.0
BOS,12,2023-11-27,1.0
BRK,7,2023-11-27,19.0
CHO,5,2023-11-27,23.0
CHI,5,2023-11-27,24.0
CLE,8,2023-11-27,16.0
DAL,10,2023-11-27,8.0
DEN,11,2023-11-27,2.0
DET,2,2023-11-27,29.0
GSW,7,2023-11-27,20.0
HOU,7,2023-11-27,21.0
IND,9,2023-11-27,12.0
LAC,7,2023-11-27,22.0
LAL,10,2023-11-27,9.0
MEM,3,2023-11-27,27.0
MIA,10,2023-11-27,10.0
MIL,11,2023-11-27,3.0
MIN,11,2023-11-27,4.0
NOP,9,2023-11-27,13.0
NYK,9,2023-11-27,14.0
OKC,11,2023-11-27,5.0
ORL,11,2023-11-27,6.0
PHI,11,2023-11-27,7.0
PHO,10,2023-11-27,11.0
POR,4,2023-11-27,26.0
SAC,8,2023-11-27,17.0
SAS,3,2023-11-27,28.0
TOR,8,2023-11-27,18.0
UTA,5,2023-11-27,25.0
WAS,2,2023-11-27,30.0
ATL,8,2023-11-28,17.0
BOS,13,2023-11-28,1.0
BRK,8,2023-11-28,18.0
CHO,5,2023-11-28,23.0
CHI,5,2023-11-28,24.0
CLE,9,2023-11-28,12.0
DAL,10,2023-11-28,8.0
DEN,11,2023-11-28,4.0
DET,2,2023-11-28,29.0
GSW,8,2023-11-28,19.0
HOU,8,2023-11-28,20.0
IND,9,2023-11-28,13.0
LAC,7,2023-11-28,22.0
LAL,10,2023-11-28,9.0
MEM,3,2023-11-28,27.0
MIA,10,2023-11-28,10.0
MIL,12,2023-11-28,2.0
MIN,12,2023-11-28,3.0
NOP,9,2023-11-28,14.0
NYK,9,2023-11-28,15.0
OKC,11,2023-11-28,5.0
ORL,11,2023-11-28,6.0
PHI,11,2023-11-28,7.0
PHO,10,2023-11-28,11.0
POR,4,2023-11-28,26.0
SAC,9,2023-11-28,16.0
SAS,3,2023-11-28,28.0
TOR,8,2023-11-28,21.0
UTA,5,2023-11-28,25.0
WAS,2,2023-11-28,30.0
ATL,8,2023-11-29,17.0
BOS,13,2023-11-29,1.0
BRK,8,2023-11-29,18.0
CHO,5,2023-11-29,24.0
CHI,5,2023-11-29,25.0
CLE,9,2023-11-29,13.0
DAL,10,2023-11-29,9.0
DEN,12,2023-11-29,2.0
DET,2,2023-11-29,30.0
GSW,8,2023-11-29,19.0
HOU,8,2023-11-29,20.0
IND,9,2023-11-29,14.0
LAC,7,2023-11-29,22.0
LAL,10,2023-11-29,10.0
MEM,3,2023-11-29,27.0
MIA,10,2023-11-29,11.0
MIL,12,2023-11-29,3.0
MIN,12,2023-11-29,4.0
NOP,9,2023-11-29,15.0
NYK,9,2023-11-29,16.0
OKC,11,2023-11-29,7.0
ORL,12,2023-11-29,5.0
PHI,12,2023-11-29,6.0
PHO,11,2023-11-29,8.0
POR,4,2023-11-29,26.0
SAC,10,2023-11-29,12.0
SAS,3,2023-11-29,28.0
TOR,8,2023-11-29,21.0
UTA,6,2023-11-29,23.0
WAS,3,2023-11-29,29.0
ATL,8,2023-11-30,18.0
BOS,13,2023-11-30,1.0
BRK,9,2023-11-30,15.0
CHO,5,2023-11-30,24.0
CHI,5,2023-11-30,25.0
CLE,10,2023-11-30,10.0
DAL,10,2023-11-30,11.0
DEN,12,2023-11-30,4.0
DET,2,2023-11-30,30.0
GSW,8,2023-11-30,19.0
HOU,8,2023-11-30,20.0
IND,9,2023-11-30,16.0
LAC,8,2023-11-30,21.0
LAL,11,2023-11-30,7.0
MEM,3,2023-11-30,27.0
MIA,10,2023-11-30,12.0
MIL,13,2023-11-30,2.0
MIN,13,2023-11-30,3.0
NOP,9,2023-11-30,17.0
NYK,10,2023-11-30,13.0
OKC,11,2023-11-30,8.0
ORL,12,2023-11-30,5.0
PHI,12,2023-11-30,6.0
PHO,11,2023-11-30,9.0
POR,5,2023-11-30,26.0
SAC,10,2023-11-30,14.0
SAS,3,2023-11-30,28.0
TOR,8,2023-11-30,22.0
UTA,6,2023-11-30,23.0
WAS,3,2023-11-30,29.0
ATL,8,2023-12-01,19.0
BOS,14,2023-12-01,1.0
BRK,9,2023-12-01,16.0
CHO,5,2023-12-01,24.0
CHI,5,2023-12-01,25.0
CLE,10,2023-12-01,12.0
DAL,11,2023-12-01,7.0
DEN,13,2023-12-01,2.0
DET,2,2023-12-01,30.0
GSW,8,2023-12-01,20.0
HOU,8,2023-12-01,21.0
IND,9,2023-12-01,17.0
LAC,8,2023-12-01,22.0
LAL,11,2023-12-01,8.0
MEM,4,2023-12-01,27.0
MIA,10,2023-12-01,13.0
MIL,13,2023-12-01,3.0
MIN,13,2023-12-01,4.0
NOP,10,2023-12-01,14.0
NYK,11,2023-12-01,9.0
OKC,11,2023-12-01,10.0
ORL,13,2023-12-01,5.0
PHI,12,2023-12-01,6.0
PHO,11,2023-12-01,11.0
POR,5,2023-12-01,26.0
SAC,10,2023-12-01,15.0
SAS,3,2023-12-01,28.0
TOR,9,2023-12-01,18.0
UTA,6,2023-12-01,23.0
WAS,3,2023-12-01,29.0
ATL,9,2023-12-02,16.0
BOS,14,2023-12-02,1.0
BRK,9,2023-12-02,17.0
CHO,6,2023-12-02,23.0
CHI,6,2023-12-02,24.0
CLE,10,2023-12-02,14.0
DAL,11,2023-12-02,8.0
DEN,14,2023-12-02,2.0
DET,2,2023-12-02,30.0
GSW,9,2023-12-02,18.0
HOU,8,2023-12-02,21.0
IND,9,2023-12-02,19.0
LAC,8,2023-12-02,22.0
LAL,11,2023-12-02,9.0
MEM,5,2023-12-02,27.0
MIA,11,2023-12-02,10.0
MIL,13,2023-12-02,5.0
MIN,14,2023-12-02,3.0
NOP,11,2023-12-02,11.0
NYK,11,2023-12-02,12.0
OKC,12,2023-12-02,6.0
ORL,14,2023-12-02,4.0
PHI,12,2023-12-02,7.0
PHO,11,2023-12-02,13.0
POR,6,2023-12-02,25.0
SAC,10,2023-12-02,15.0
SAS,3,2023-12-02,28.0
TOR,9,2023-12-02,20.0
UTA,6,2023-12-02,26.0
WAS,3,2023-12-02,29.0
ATL,9,2023-12-04,17.0
BOS,15,2023-12-04,1.0
BRK,9,2023-12-04,18.0
CHO,6,2023-12-04,23.0
CHI,6,2023-12-04,24.0
CLE,10,2023-12-04,15.0
DAL,11,2023-12-04,8.0
DEN,14,2023-12-04,2.0
DET,2,2023-12-04,30.0
GSW,9,2023-12-04,19.0
HOU,8,2023-12-04,21.0
IND,10,2023-12-04,16.0
LAC,8,2023-12-04,22.0
LAL,11,2023-12-04,9.0
MEM,5,2023-12-04,27.0
MIA,11,2023-12-04,10.0
MIL,13,2023-12-04,5.0
MIN,14,2023-12-04,3.0
NOP,11,2023-12-04,11.0
NYK,11,2023-12-04,12.0
OKC,12,2023-12-04,6.0
ORL,14,2023-12-04,4.0
PHI,12,2023-12-04,7.0
PHO,11,2023-12-04,13.0
POR,6,2023-12-04,25.0
SAC,11,2023-12-04,14.0
SAS,3,2023-12-04,28.0
TOR,9,2023-12-04,20.0
UTA,6,2023-12-04,26.0
WAS,3,2023-12-04,29.0
ATL,9,2023-12-05,17.0
BOS,15,2023-12-05,1.0
BRK,9,2023-12-05,18.0
CHO,6,2023-12-05,23.0
CHI,6,2023-12-05,24.0
CLE,10,2023-12-05,15.0
DAL,11,2023-12-05,11.0
DEN,14,2023-12-05,2.0
DET,2,2023-12-05,30.0
GSW,9,2023-12-05,19.0
HOU,8,2023-12-05,21.0
IND,10,2023-12-05,16.0
LAC,8,2023-12-05,22.0
LAL,12,2023-12-05,6.0
MEM,5,2023-12-05,27.0
MIA,11,2023-12-05,12.0
MIL,14,2023-12-05,3.0
MIN,14,2023-12-05,4.0
NOP,11,2023-12-05,13.0
NYK,12,2023-12-05,7.0
OKC,12,2023-12-05,8.0
ORL,14,2023-12-05,5.0
PHI,12,2023-12-05,9.0
PHO,12,2023-12-05,10.0
POR,6,2023-12-05,25.0
SAC,11,2023-12-05,14.0
SAS,3,2023-12-05,28.0
TOR,9,2023-12-05,20.0
UTA,6,2023-12-05,26.0
WAS,3,2023-12-05,29.0
ATL,9,2023-12-06,18.0
BOS,15,2023-12-06,1.0
BRK,10,2023-12-06,16.0
CHO,6,2023-12-06,25.0
CHI,7,2023-12-06,23.0
CLE,11,2023-12-06,11.0
DAL,11,2023-12-06,12.0
DEN,14,2023-12-06,3.0
DET,2,2023-12-06,30.0
GSW,9,2023-12-06,19.0
HOU,8,2023-12-06,22.0
IND,10,2023-12-06,17.0
LAC,9,2023-12-06,20.0
LAL,12,2023-12-06,7.0
MEM,5,2023-12-06,27.0
MIA,11,2023-12-06,13.0
MIL,14,2023-12-06,4.0
MIN,15,2023-12-06,2.0
NOP,11,2023-12-06,14.0
NYK,12,2023-12-06,8.0
OKC,13,2023-12-06,6.0
ORL,14,2023-12-06,5.0
PHI,12,2023-12-06,9.0
PHO,12,2023-12-06,10.0
POR,6,2023-12-06,26.0
SAC,11,2023-12-06,15.0
SAS,3,2023-12-06,28.0
TOR,9,2023-12-06,21.0
UTA,7,2023-12-06,24.0
WAS,3,2023-12-06,29.0
ATL,9,2023-12-07,18.0
BOS,15,2023-12-07,1.0
BRK,10,2023-12-07,17.0
CHO,6,2023-12-07,25.0
CHI,7,2023-12-07,23.0
CLE,11,2023-12-07,12.0
DAL,11,2023-12-07,13.0
DEN,14,2023-12-07,4.0
DET,2,2023-12-07,30.0
GSW,9,2023-12-07,19.0
HOU,8,2023-12-07,22.0
IND,11,2023-12-07,14.0
LAC,9,2023-12-07,20.0
LAL,13,2023-12-07,6.0
MEM,5,2023-12-07,27.0
MIA,11,2023-12-07,15.0
MIL,15,2023-12-07,2.0
MIN,15,2023-12-07,3.0
NOP,12,2023-12-07,8.0
NYK,12,2023-12-07,9.0
OKC,13,2023-12-07,7.0
ORL,14,2023-12-07,5.0
PHI,12,2023-12-07,10.0
PHO,12,2023-12-07,11.0
POR,6,2023-12-07,26.0
SAC,11,2023-12-07,16.0
SAS,3,2023-12-07,28.0
TOR,9,2023-12-07,21.0
UTA,7,2023-12-07,24.0
WAS,3,2023-12-07,29.0
ATL,9,2023-12-08,20.0
BOS,15,2023-12-08,2.0
BRK,11,2023-12-08,15.0
CHO,6,2023-12-08,25.0
CHI,8,2023-12-08,23.0
CLE,12,2023-12-08,9.0
DAL,12,2023-12-08,10.0
DEN,14,2023-12-08,4.0
DET,2,2023-12-08,30.0
GSW,10,2023-12-08,18.0
HOU,9,2023-12-08,21.0
IND,11,2023-12-08,16.0
LAC,10,2023-12-08,19.0
LAL,13,2023-12-08,6.0
MEM,6,2023-12-08,26.0
MIA,12,2023-12-08,11.0
MIL,15,2023-12-08,3.0
MIN,16,2023-12-08,1.0
NOP,12,2023-12-08,12.0
NYK,12,2023-12-08,13.0
OKC,13,2023-12-08,7.0
ORL,14,2023-12-08,5.0
PHI,13,2023-12-08,8.0
PHO,12,2023-12-08,14.0
POR,6,2023-12-08,27.0
SAC,11,2023-12-08,17.0
SAS,3,2023-12-08,28.0
TOR,9,2023-12-08,22.0
UTA,7,2023-12-08,24.0
WAS,3,2023-12-08,29.0
ATL,9,2023-12-11,21.0
BOS,15,2023-12-11,2.0
BRK,12,2023-12-11,11.0
CHO,7,2023-12-11,24.0
CHI,9,2023-12-11,22.0
CLE,13,2023-12-11,8.0
DAL,13,2023-12-11,9.0
DEN,14,2023-12-11,5.0
DET,2,2023-12-11,30.0
GSW,10,2023-12-11,19.0
HOU,10,2023-12-11,20.0
IND,12,2023-12-11,12.0
LAC,11,2023-12-11,18.0
LAL,13,2023-12-11,10.0
MEM,6,2023-12-11,26.0
MIA,12,2023-12-11,13.0
MIL,15,2023-12-11,3.0
MIN,17,2023-12-11,1.0
NOP,12,2023-12-11,14.0
NYK,12,2023-12-11,15.0
OKC,14,2023-12-11,6.0
ORL,15,2023-12-11,4.0
PHI,14,2023-12-11,7.0
PHO,12,2023-12-11,16.0
POR,6,2023-12-11,27.0
SAC,12,2023-12-11,17.0
SAS,3,2023-12-11,28.0
TOR,9,2023-12-11,23.0
UTA,7,2023-12-11,25.0
WAS,3,2023-12-11,29.0
ATL,9,2023-12-12,21.0
BOS,16,2023-12-12,2.0
BRK,12,2023-12-12,12.0
CHO,7,2023-12-12,24.0
CHI,9,2023-12-12,22.0
CLE,13,2023-12-12,10.0
DAL,14,2023-12-12,6.0
DEN,15,2023-12-12,3.0
DET,2,2023-12-12,30.0
GSW,10,2023-12-12,19.0
HOU,10,2023-12-12,20.0
IND,12,2023-12-12,13.0
LAC,12,2023-12-12,14.0
LAL,14,2023-12-12,7.0
MEM,6,2023-12-12,26.0
MIA,12,2023-12-12,15.0
MIL,15,2023-12-12,4.0
MIN,17,2023-12-12,1.0
NOP,12,2023-12-12,16.0
NYK,12,2023-12-12,17.0
OKC,14,2023-12-12,8.0
ORL,15,2023-12-12,5.0
PHI,14,2023-12-12,9.0
PHO,12,2023-12-12,18.0
POR,6,2023-12-12,27.0
SAC,13,2023-12-12,11.0
SAS,3,2023-12-12,28.0
TOR,9,2023-12-12,23.0
UTA,7,2023-12-12,25.0
WAS,3,2023-12-12,29.0
ATL,9,2023-12-13,21.0
BOS,16,2023-12-13,2.0
BRK,12,2023-12-13,17.0
CHO,7,2023-12-13,24.0
CHI,9,2023-12-13,22.0
CLE,13,2023-12-13,10.0
DAL,14,2023-12-13,7.0
DEN,15,2023-12-13,4.0
DET,2,2023-12-13,30.0
GSW,10,2023-12-13,20.0
HOU,11,2023-12-13,19.0
IND,13,2023-12-13,11.0
LAC,12,2023-12-13,18.0
LAL,14,2023-12-13,8.0
MEM,6,2023-12-13,26.0
MIA,13,2023-12-13,12.0
MIL,16,2023-12-13,3.0
MIN,17,2023-12-13,1.0
NOP,13,2023-12-13,13.0
NYK,13,2023-12-13,14.0
OKC,14,2023-12-13,9.0
ORL,15,2023-12-13,5.0
PHI,15,2023-12-13,6.0
PHO,13,2023-12-13,15.0
POR,6,2023-12-13,27.0
SAC,13,2023-12-13,16.0
SAS,3,2023-12-13,28.0
TOR,9,2023-12-13,23.0
UTA,7,2023-12-13,25.0
WAS,3,2023-12-13,29.0
ATL,9,2023-12-14,21.0
BOS,17,2023-12-14,1.0
BRK,13,2023-12-14,11.0
CHO,7,2023-12-14,25.0
CHI,9,2023-12-14,22.0
CLE,13,2023-12-14,12.0
DAL,15,2023-12-14,5.0
DEN,16,2023-12-14,3.0
DET,2,2023-12-14,30.0
GSW,10,2023-12-14,20.0
HOU,11,2023-12-14,19.0
IND,13,2023-12-14,13.0
LAC,13,2023-12-14,14.0
LAL,14,2023-12-14,9.0
MEM,6,2023-12-14,26.0
MIA,14,2023-12-14,10.0
MIL,16,2023-12-14,4.0
MIN,17,2023-12-14,2.0
NOP,13,2023-12-14,15.0
NYK,13,2023-12-14,16.0
OKC,15,2023-12-14,6.0
ORL,15,2023-12-14,7.0
PHI,15,2023-12-14,8.0
PHO,13,2023-12-14,17.0
POR,6,2023-12-14,27.0
SAC,13,2023-12-14,18.0
SAS,3,2023-12-14,28.0
TOR,9,2023-12-14,23.0
UTA,8,2023-12-14,24.0
WAS,3,2023-12-14,29.0
ATL,9,2023-12-15,22.0
BOS,18,2023-12-15,1.0
BRK,13,2023-12-15,12.0
CHO,7,2023-12-15,25.0
CHI,9,2023-12-15,23.0
CLE,13,2023-12-15,13.0
DAL,15,2023-12-15,7.0
DEN,16,2023-12-15,3.0
DET,2,2023-12-15,30.0
GSW,10,2023-12-15,20.0
HOU,12,2023-12-15,19.0
IND,13,2023-12-15,14.0
LAC,13,2023-12-15,15.0
LAL,15,2023-12-15,8.0
MEM,6,2023-12-15,26.0
MIA,14,2023-12-15,10.0
MIL,16,2023-12-15,4.0
MIN,17,2023-12-15,2.0
NOP,14,2023-12-15,11.0
NYK,13,2023-12-15,16.0
OKC,15,2023-12-15,9.0
ORL,16,2023-12-15,5.0
PHI,16,2023-12-15,6.0
PHO,13,2023-12-15,17.0
POR,6,2023-12-15,27.0
SAC,13,2023-12-15,18.0
SAS,3,2023-12-15,28.0
TOR,10,2023-12-15,21.0
UTA,8,2023-12-15,24.0
WAS,3,2023-12-15,29.0
ATL,10,2023-12-16,20.0
BOS,18,2023-12-16,1.0
BRK,13,2023-12-16,15.0
CHO,7,2023-12-16,25.0
CHI,10,2023-12-16,21.0
CLE,13,2023-12-16,16.0
DAL,15,2023-12-16,7.0
DEN,17,2023-12-16,3.0
DET,2,2023-12-16,30.0
GSW,10,2023-12-16,22.0
HOU,12,2023-12-16,19.0
IND,13,2023-12-16,17.0
LAC,14,2023-12-16,10.0
LAL,15,2023-12-16,8.0
MEM,6,2023-12-16,26.0
MIA,14,2023-12-16,11.0
MIL,17,2023-12-16,4.0
MIN,18,2023-12-16,2.0
NOP,14,2023-12-16,12.0
NYK,14,2023-12-16,13.0
OKC,15,2023-12-16,9.0
ORL,16,2023-12-16,6.0
PHI,17,2023-12-16,5.0
PHO,13,2023-12-16,18.0
POR,6,2023-12-16,27.0
SAC,14,2023-12-16,14.0
SAS,3,2023-12-16,28.0
TOR,10,2023-12-16,23.0
UTA,9,2023-12-16,24.0
WAS,3,2023-12-16,29.0
ATL,10,2023-12-17,21.0
BOS,19,2023-12-17,1.0
BRK,13,2023-12-17,15.0
CHO,7,2023-12-17,25.0
CHI,10,2023-12-17,22.0
CLE,13,2023-12-17,16.0
DAL,15,2023-12-17,7.0
DEN,17,2023-12-17,4.0
DET,2,2023-12-17,30.0
GSW,11,2023-12-17,20.0
HOU,13,2023-12-17,17.0
IND,13,2023-12-17,18.0
LAC,14,2023-12-17,11.0
LAL,15,2023-12-17,8.0
MEM,6,2023-12-17,26.0
MIA,14,2023-12-17,12.0
MIL,18,2023-12-17,2.0
MIN,18,2023-12-17,3.0
NOP,15,2023-12-17,9.0
NYK,14,2023-12-17,13.0
OKC,15,2023-12-17,10.0
ORL,16,2023-12-17,6.0
PHI,17,2023-12-17,5.0
PHO,13,2023-12-17,19.0
POR,6,2023-12-17,27.0
SAC,14,2023-12-17,14.0
SAS,4,2023-12-17,28.0
TOR,10,2023-12-17,23.0
UTA,9,2023-12-17,24.0
WAS,4,2023-12-17,29.0
ATL,10,2023-12-18,21.0
BOS,19,2023-12-18,1.0
BRK,13,2023-12-18,16.0
CHO,7,2023-12-18,25.0
CHI,10,2023-12-18,22.0
CLE,14,2023-12-18,14.0
DAL,16,2023-12-18,6.0
DEN,17,2023-12-18,5.0
DET,2,2023-12-18,30.0
GSW,11,2023-12-18,20.0
HOU,13,2023-12-18,17.0
IND,13,2023-12-18,18.0
LAC,15,2023-12-18,9.0
LAL,15,2023-12-18,10.0
MEM,6,2023-12-18,26.0
MIA,15,2023-12-18,11.0
MIL,18,2023-12-18,3.0
MIN,19,2023-12-18,2.0
NOP,15,2023-12-18,12.0
NYK,14,2023-12-18,15.0
OKC,16,2023-12-18,7.0
ORL,16,2023-12-18,8.0
PHI,18,2023-12-18,4.0
PHO,13,2023-12-18,19.0
POR,6,2023-12-18,27.0
SAC,15,2023-12-18,13.0
SAS,4,2023-12-18,28.0
TOR,10,2023-12-18,23.0
UTA,9,2023-12-18,24.0
WAS,4,2023-12-18,29.0
ATL,10,2023-12-19,21.0
BOS,20,2023-12-19,1.0
BRK,13,2023-12-19,17.0
CHO,7,2023-12-19,25.0
CHI,10,2023-12-19,22.0
CLE,14,2023-12-19,14.0
DAL,16,2023-12-19,6.0
DEN,17,2023-12-19,5.0
DET,2,2023-12-19,30.0
GSW,12,2023-12-19,20.0
HOU,13,2023-12-19,18.0
IND,13,2023-12-19,19.0
LAC,15,2023-12-19,10.0
LAL,15,2023-12-19,11.0
MEM,6,2023-12-19,26.0
MIA,15,2023-12-19,12.0
MIL,19,2023-12-19,2.0
MIN,19,2023-12-19,3.0
NOP,16,2023-12-19,7.0
NYK,14,2023-12-19,15.0
OKC,16,2023-12-19,8.0
ORL,16,2023-12-19,9.0
PHI,18,2023-12-19,4.0
PHO,14,2023-12-19,16.0
POR,6,2023-12-19,27.0
SAC,15,2023-12-19,13.0
SAS,4,2023-12-19,28.0
TOR,10,2023-12-19,23.0
UTA,9,2023-12-19,24.0
WAS,4,2023-12-19,29.0
ATL,11,2023-12-20,21.0
BOS,20,2023-12-20,1.0
BRK,13,2023-12-20,17.0
CHO,7,2023-12-20,25.0
CHI,11,2023-12-20,22.0
CLE,15,2023-12-20,12.0
DAL,16,2023-12-20,6.0
DEN,18,2023-12-20,4.0
DET,2,2023-12-20,30.0
GSW,12,2023-12-20,20.0
HOU,13,2023-12-20,18.0
IND,13,2023-12-20,19.0
LAC,16,2023-12-20,7.0
LAL,15,2023-12-20,13.0
MEM,6,2023-12-20,26.0
MIA,15,2023-12-20,14.0
MIL,19,2023-12-20,3.0
MIN,20,2023-12-20,2.0
NOP,16,2023-12-20,8.0
NYK,15,2023-12-20,15.0
OKC,16,2023-12-20,9.0
ORL,16,2023-12-20,10.0
PHI,18,2023-12-20,5.0
PHO,14,2023-12-20,16.0
POR,6,2023-12-20,27.0
SAC,16,2023-12-20,11.0
SAS,4,2023-12-20,28.0
TOR,11,2023-12-20,23.0
UTA,10,2023-12-20,24.0
WAS,4,2023-12-20,29.0
ATL,11,2023-12-21,22.0
BOS,20,2023-12-21,1.0
BRK,13,2023-12-21,18.0
CHO,7,2023-12-21,25.0
CHI,12,2023-12-21,20.0
CLE,16,2023-12-21,8.0
DAL,16,2023-12-21,9.0
DEN,18,2023-12-21,4.0
DET,2,2023-12-21,30.0
GSW,12,2023-12-21,21.0
HOU,13,2023-12-21,19.0
IND,14,2023-12-21,16.0
LAC,17,2023-12-21,6.0
LAL,15,2023-12-21,13.0
MEM,7,2023-12-21,26.0
MIA,15,2023-12-21,14.0
MIL,20,2023-12-21,2.0
MIN,20,2023-12-21,3.0
NOP,16,2023-12-21,10.0
NYK,15,2023-12-21,15.0
OKC,17,2023-12-21,7.0
ORL,16,2023-12-21,11.0
PHI,18,2023-12-21,5.0
PHO,14,2023-12-21,17.0
POR,7,2023-12-21,27.0
SAC,16,2023-12-21,12.0
SAS,4,2023-12-21,28.0
TOR,11,2023-12-21,23.0
UTA,10,2023-12-21,24.0
WAS,4,2023-12-21,29.0
ATL,12,2023-12-22,21.0
BOS,20,2023-12-22,1.0
BRK,13,2023-12-22,18.0
CHO,7,2023-12-22,25.0
CHI,12,2023-12-22,22.0
CLE,16,2023-12-22,8.0
DAL,16,2023-12-22,9.0
DEN,19,2023-12-22,4.0
DET,2,2023-12-22,30.0
GSW,13,2023-12-22,19.0
HOU,13,2023-12-22,20.0
IND,14,2023-12-22,16.0
LAC,17,2023-12-22,6.0
LAL,15,2023-12-22,14.0
MEM,7,2023-12-22,26.0
MIA,16,2023-12-22,10.0
MIL,20,2023-12-22,2.0
MIN,20,2023-12-22,3.0
NOP,16,2023-12-22,11.0
NYK,15,2023-12-22,15.0
OKC,17,2023-12-22,7.0
ORL,16,2023-12-22,12.0
PHI,19,2023-12-22,5.0
PHO,14,2023-12-22,17.0
POR,7,2023-12-22,27.0
SAC,16,2023-12-22,13.0
SAS,4,2023-12-22,29.0
TOR,11,2023-12-22,23.0
UTA,10,2023-12-22,24.0
WAS,5,2023-12-22,28.0
ATL,12,2023-12-23,22.0
BOS,21,2023-12-23,1.0
BRK,13,2023-12-23,20.0
