Away,Home,Result,Date
GSW,POR,1,2023-12-17
HOU,MIL,0,2023-12-17
NOP,SAS,1,2023-12-17
ORL,BOS,0,2023-12-17
WAS,PHO,0,2023-12-17
BRK,UTA,0,2023-12-18
CHI,PHI,1,2023-12-18
CHO,TOR,0,2023-12-18
DAL,DEN,0,2023-12-18
DET,ATL,0,2023-12-18
HOU,CLE,0,2023-12-18
LAC,IND,1,2023-12-18
MEM,OKC,0,2023-12-18
MIN,MIA,1,2023-12-18
NYK,LAL,1,2023-12-18
WAS,SAC,0,2023-12-18
BOS,GSW,0,2023-12-19
MEM,NOP,1,2023-12-19
PHO,POR,0,2023-12-19
SAS,MIL,0,2023-12-19
ATL,HOU,1,2023-12-20
BOS,SAC,1,2023-12-20
CHO,IND,0,2023-12-20
DEN,TOR,1,2023-12-20
LAC,DAL,1,2023-12-20
LAL,CHI,0,2023-12-20
MIA,ORL,1,2023-12-20
MIN,PHI,0,2023-12-20
NYK,BRK,1,2023-12-20
UTA,CLE,0,2023-12-20
IND,MEM,0,2023-12-21
LAC,OKC,0,2023-12-21
LAL,MIN,0,2023-12-21
NOP,CLE,1,2023-12-21
ORL,MIL,0,2023-12-21
SAS,CHI,0,2023-12-21
UTA,DET,1,2023-12-21
WAS,POR,1,2023-12-21
ATL,MIA,0,2023-12-22
DAL,HOU,0,2023-12-22
DEN,BRK,1,2023-12-22
PHO,SAC,0,2023-12-22
TOR,PHI,0,2023-12-22
WAS,GSW,0,2023-12-22
BOS,LAC,1,2023-12-23
CLE,CHI,1,2023-12-23
DEN,CHO,1,2023-12-23
DET,BRK,0,2023-12-23
HOU,NOP,1,2023-12-23
LAL,OKC,1,2023-12-23
MEM,ATL,1,2023-12-23
MIL,NYK,1,2023-12-23
MIN,SAC,1,2023-12-23
ORL,IND,1,2023-12-23
POR,GSW,0,2023-12-23
SAS,DAL,0,2023-12-23
UTA,TOR,1,2023-12-23
BOS,LAL,1,2023-12-25
DAL,PHO,1,2023-12-25
GSW,DEN,0,2023-12-25
MIL,NYK,0,2023-12-25
PHI,MIA,0,2023-12-25
ATL,CHI,0,2023-12-26
BRK,DET,1,2023-12-26
CHO,LAC,0,2023-12-26
IND,HOU,1,2023-12-26
MEM,NOP,1,2023-12-26
MIN,OKC,0,2023-12-26
ORL,WAS,1,2023-12-26
SAC,POR,0,2023-12-26
UTA,SAS,1,2023-12-26
CLE,DAL,1,2023-12-27
MIL,BRK,1,2023-12-27
NYK,OKC,0,2023-12-27
PHI,ORL,1,2023-12-27
PHO,HOU,1,2023-12-27
TOR,WAS,1,2023-12-27
CHO,LAL,0,2023-12-28
DAL,MIN,0,2023-12-28
DET,BOS,0,2023-12-28
IND,CHI,1,2023-12-28
MEM,DEN,0,2023-12-28
MIA,GSW,1,2023-12-28
SAS,POR,1,2023-12-28
UTA,NOP,0,2023-12-28
BRK,WAS,0,2023-12-29
CHO,PHO,0,2023-12-29
MEM,LAC,0,2023-12-29
MIL,CLE,1,2023-12-29
NYK,ORL,0,2023-12-29
OKC,DEN,1,2023-12-29
PHI,HOU,1,2023-12-29
SAC,ATL,1,2023-12-29
SAS,POR,0,2023-12-29
TOR,BOS,0,2023-12-29
DAL,GSW,1,2023-12-30
LAL,MIN,0,2023-12-30
MIA,UTA,0,2023-12-30
NYK,IND,0,2023-12-30
PHI,CHI,0,2023-12-30
TOR,DET,0,2023-12-30
ATL,WAS,1,2023-12-31
BOS,SAS,1,2023-12-31
BRK,OKC,0,2023-12-31
LAL,NOP,0,2023-12-31
ORL,PHO,0,2023-12-31
SAC,MEM,1,2023-12-31
CHO,DEN,0,2024-01-01
CLE,TOR,0,2024-01-01
DAL,UTA,0,2024-01-01
DET,HOU,0,2024-01-01
IND,MIL,1,2024-01-01
MIA,LAC,0,2024-01-01
MIN,NYK,0,2024-01-01
POR,PHO,0,2024-01-01
BOS,OKC,0,2024-01-02
BRK,NOP,0,2024-01-02
CHI,PHI,0,2024-01-02
CHO,SAC,1,2024-01-02
ORL,GSW,0,2024-01-02
SAS,MEM,0,2024-01-02
BRK,HOU,0,2024-01-03
CHI,NYK,0,2024-01-03
DET,UTA,0,2024-01-03
LAC,PHO,1,2024-01-03
MIA,LAL,1,2024-01-03
MIL,IND,0,2024-01-03
NOP,MIN,1,2024-01-03
OKC,ATL,0,2024-01-03
ORL,SAC,0,2024-01-03
POR,DAL,0,2024-01-03
TOR,MEM,1,2024-01-03
WAS,CLE,0,2024-01-03
DEN,GSW,1,2024-01-04
MIL,SAS,1,2024-01-04
ATL,IND,0,2024-01-05
CHO,CHI,0,2024-01-05
DET,GSW,0,2024-01-05
LAC,NOP,1,2024-01-05
MEM,LAL,1,2024-01-05
MIA,PHO,0,2024-01-05
MIN,HOU,1,2024-01-05
NYK,PHI,1,2024-01-05
OKC,BRK,0,2024-01-05
ORL,DEN,1,2024-01-05
POR,DAL,0,2024-01-05
TOR,SAC,0,2024-01-05
UTA,BOS,0,2024-01-05
WAS,CLE,0,2024-01-05
BOS,IND,1,2024-01-06
MIL,HOU,0,2024-01-06
NYK,WAS,1,2024-01-06
UTA,PHI,1,2024-01-06
ATL,ORL,0,2024-01-07
DET,DEN,0,2024-01-07
LAC,LAL,0,2024-01-07
MEM,PHO,1,2024-01-07
MIN,DAL,0,2024-01-07
NOP,SAC,1,2024-01-07
POR,BRK,1,2024-01-07
SAS,CLE,0,2024-01-07
TOR,GSW,1,2024-01-07
BOS,IND,0,2024-01-08
CHI,CHO,1,2024-01-08
HOU,MIA,0,2024-01-08
OKC,WAS,1,2024-01-08
PHO,LAC,0,2024-01-08
UTA,MIL,1,2024-01-08
MEM,DAL,1,2024-01-09
MIN,ORL,1,2024-01-09
POR,NYK,0,2024-01-09
SAC,DET,1,2024-01-09
TOR,LAL,0,2024-01-09
DEN,UTA,0,2024-01-10
HOU,CHI,0,2024-01-10
MIN,BOS,0,2024-01-10
NOP,GSW,1,2024-01-10
OKC,MIA,1,2024-01-10
PHI,ATL,0,2024-01-10
SAC,CHO,1,2024-01-10
SAS,DET,1,2024-01-10
TOR,LAC,0,2024-01-10
WAS,IND,0,2024-01-10
BOS,MIL,0,2024-01-11
BRK,CLE,0,2024-01-11
NYK,DAL,0,2024-01-11
PHO,LAL,1,2024-01-11
POR,OKC,0,2024-01-11
CHO,SAS,0,2024-01-12
GSW,CHI,1,2024-01-12
HOU,DET,1,2024-01-12
IND,ATL,1,2024-01-12
LAC,MEM,1,2024-01-12
NOP,DEN,0,2024-01-12
ORL,MIA,0,2024-01-12
POR,MIN,0,2024-01-12
SAC,PHI,0,2024-01-12
